compound,modifier,head,frequency_class
Betriebsrat,Betrieb,Rat,12.0
Vorrunde,vor,Runde,12.0
Lebensmittel,Leben,Mittel,12.0
Hausherr,Haus,Herr,12.0
Fahrgast,fahren,Gast,12.0
Jahresende,Jahr,Ende,12.0
Verteidigungsminister,Verteidigung,Minister,12.0
Mittelfeld,mittlere,Feld,12.0
Fahrbahn,fahren,Bahn,12.0
Fachmann,Fach,Mann,12.0
Sportplatz,Sport,Platz,12.0
Amtsgericht,Amt,Gericht,12.0
Zeitraum,Zeit,Raum,12.0
Leserbrief,Leser,Brief,12.0
Kreisliga,Kreis,Liga,12.0
Schuljahr,Schule,Jahr,12.0
Straftat,Strafe,Tat,12.0
Tatort,Tat,Ort,12.0
Bestandteil,Bestand,Teil,12.0
Fußgänger,Fuß,Gänger,12.0
Sporthalle,Sport,Halle,12.0
Zeitschrift,Zeit,Schrift,12.0
Kreisverwaltung,Kreis,Verwaltung,12.0
Lebensjahr,Leben,Jahr,12.0
Ortsverein,Ort,Verein,12.0
Vormittag,vor,Mittag,12.0
Schulleiter,Schule,Leiter,12.0
Ortsgemeinde,Ort,Gemeinde,12.0
Samstagabend,Samstag,Abend,12.0
Altstadt,alt,Stadt,12.0
Feiertag,Feier,Tag,12.0
Mitgliederversammlung,Mitglied,Versammlung,12.0
Parteichef,Partei,Chef,12.0
Gaststätte,Gast,Stätte,12.0
Bundesstaat,Bund,Staat,12.0
Bürgerinitiative,Bürger,Initiative,12.0
Hauptstraße,haupt,Straße,12.0
Neuwahl,neu,Wahl,12.0
Titelverteidiger,Titel,Verteidiger,12.0
Spielzeit,Spiel,Zeit,12.0
Tageszeitung,Tag,Zeitung,12.0
Bundesamt,Bund,Amt,12.0
Arbeitsamt,Arbeit,Amt,12.0
Umweltschutz,Umwelt,Schutz,12.0
Hauptschule,haupt,Schule,12.0
Netzwerk,Netz,Werk,12.0
Tischtennis,Tisch,Tennis,12.0
Fraktionsvorsitzende,Fraktion,Vorsitzende,12.0
Fraktionschef,Fraktion,Chef,12.0
Spielertrainer,Spieler,Trainer,12.0
Musikschule,Musik,Schule,12.0
Wettkampf,Wette,Kampf,12.0
Schlagzeile,schlagen,Zeile,12.0
Kilogramm,kilo,Gramm,12.0
Nachrichtenagentur,Nachricht,Agentur,12.0
Baustelle,Bau,Stelle,12.0
Jahreshauptversammlung,Jahr,Hauptversammlung,12.0
Leinwand,Leinen,Wand,12.0
Hauptbahnhof,haupt,Bahnhof,12.0
Neuzugang,neu,Zugang,12.0
Spielplatz,Spiel,Platz,12.0
Nationalmannschaft,national,Mannschaft,12.0
Tabellenführer,Tabelle,Führer,12.0
Leichtathletik,leicht,Athletik,12.0
Nationalrat,national,Rat,12.0
Nationalspieler,national,Spieler,12.0
Musikverein,Musik,Verein,12.0
Anzahl,an,Zahl,12.0
Spitzenreiter,spitzen,Reiter,12.0
Freistoß,frei,Stoß,12.0
Arbeitsgemeinschaft,Arbeit,Gemeinschaft,12.0
Führerschein,Führer,Schein,12.0
Amtszeit,Amt,Zeit,12.0
Festspiel,Fest,Spiel,12.0
Landesverband,Land,Verband,12.0
Verkehrsunfall,Verkehr,Unfall,12.0
Arbeitszeit,Arbeit,Zeit,12.0
Frühstück,früh,Stück,12.0
Frühschoppen,früh,Schoppen,12.0
Mitternacht,Mitte,Nacht,12.0
Oberliga,obere,Liga,12.0
Bundesverfassungsgericht,Bund,Verfassungsgericht,12.0
Volksschule,Volk,Schule,12.0
Bundesverband,Bund,Verband,12.0
Sonnabend,Sonne,Abend,12.0
Bundestrainer,Bund,Trainer,12.0
Bundestagswahl,Bundestag,Wahl,12.0
Handwerk,Hand,Werk,12.0
Freitagabend,Freitag,Abend,12.0
Arbeitsgruppe,Arbeit,Gruppe,12.0
Freizeit,frei,Zeit,12.0
Bebauungsplan,Bebauung,Plan,12.0
Schiedsrichter,Schied,Richter,12.0
Arbeitskreis,Arbeit,Kreis,12.0
Landesliga,Land,Liga,12.0
Motorrad,Motor,Rad,12.0
Tankstelle,tanken,Stelle,12.0
Jahreszeit,Jahr,Zeit,12.0
Bundespräsident,Bund,Präsident,12.0
Sachschaden,Sache,Schaden,12.0
Bundesstraße,Bund,Straße,12.0
Bundestagsabgeordnete,Bundestag,Abgeordnete,12.0
Hauptversammlung,haupt,Versammlung,12.0
Fachhochschule,Fach,Hochschule,12.0
Förderverein,fördern,Verein,12.0
Geheimdienst,geheim,Dienst,12.0
Volleyball,Volley,Ball,12.0
Staatspräsident,Staat,Präsident,12.0
Maßstab,Maß,Stab,12.0
Halbfinale,halb,Finale,12.0
Vorstandsvorsitzende,Vorstand,Vorsitzende,12.0
Realschule,real,Schule,12.0
Landtagsabgeordnete,Landtag,Abgeordnete,12.0
Rückgang,rück,Gang,12.0
Viertelfinale,Viertel,Finale,12.0
Vordergrund,vordere,Grund,12.0
Vorverkauf,vor,Verkauf,12.0
Richtlinie,richten,Linie,12.0
Hinspiel,hin,Spiel,12.0
Kraftwerk,Kraft,Werk,12.0
Vielzahl,viele,Zahl,12.0
Premierminister,Premier,Minister,12.0
Jugendarbeit,Jugend,Arbeit,12.0
Wirtschaftsminister,Wirtschaft,Minister,12.0
Marktplatz,Markt,Platz,12.0
Geschäftsjahr,Geschäft,Jahr,12.0
Körperverletzung,Körper,Verletzung,12.0
Stellvertreter,Stelle,Vertreter,12.0
Turnhalle,turnen,Halle,12.0
Geschäftsstelle,Geschäft,Stelle,12.0
Vorstandsmitglied,Vorstand,Mitglied,12.0
Pressekonferenz,Presse,Konferenz,12.0
Denkmal,denken,Mal,12.0
Weltcup,Welt,Cup,12.0
Bezirksliga,Bezirk,Liga,12.0
Grundgesetz,grund,Gesetz,12.0
Gemeindehaus,Gemeinde,Haus,12.0
Stadtwerk,Stadt,Werk,12.0
Wohnhaus,wohnen,Haus,12.0
Bildschirm,Bild,Schirm,12.0
Halbjahr,halb,Jahr,12.0
Beratungsstelle,Beratung,Stelle,12.0
Pressesprecher,Presse,Sprecher,12.0
Landtagswahl,Landtag,Wahl,12.0
Einblick,ein,Blick,12.0
Staatssekretär,Staat,Sekretär,12.0
Stadtverwaltung,Stadt,Verwaltung,12.0
Rücksicht,rück,Sicht,12.0
Staatsanwalt,Staat,Anwalt,12.0
Ehefrau,Ehe,Frau,12.0
Landwirt,Land,Wirt,12.0
Aufsichtsrat,Aufsicht,Rat,12.0
Torwart,Tor,Wart,12.0
Innenministerium,innen,Ministerium,12.0
Handball,Hand,Ball,12.0
Kirchenchor,Kirche,Chor,12.0
Pfarrkirche,Pfarre,Kirche,12.0
Kommunalwahl,kommunal,Wahl,12.0
Sportverein,Sport,Verein,12.0
Regionalliga,regional,Liga,12.0
Eishockey,Eis,Hockey,12.0
Weihnachtsmarkt,Weihnachten,Markt,12.0
Hochzeit,hoch,Zeit,12.0
Grundsatz,grund,Satz,12.0
Kunstwerk,Kunst,Werk,12.0
Rundfunk,rund,Funk,12.0
Ehemann,Ehe,Mann,12.0
Ehepaar,Ehe,Paar,12.0
Einzelhandel,einzeln,Handel,12.0
Lastwagen,Last,Wagen,12.0
Augenblick,Auge,Blick,12.0
Rechtsanwalt,Recht,Anwalt,12.0
Stadthalle,Stadt,Halle,12.0
Gegenzug,gegen,Zug,12.0
Dienstleistung,Dienst,Leistung,12.0
Vortag,vor,Tag,12.0
Krankenkasse,Kranke,Kasse,12.0
Stellungnahme,Stellung,Nahme,12.0
Generalsekretär,general,Sekretär,12.0
Großteil,groß,Teil,12.0
Endspiel,Ende,Spiel,12.0
Marktanteil,Markt,Anteil,12.0
Stichwort,Stich,Wort,12.0
Radfahrer,Rad,Fahrer,12.0
Sehnsucht,sehnen,Sucht,12.0
Torhüter,Tor,Hüter,12.0
Prozentpunkt,Prozent,Punkt,12.0
Ruhestand,Ruhe,Stand,12.0
Blickpunkt,Blick,Punkt,13.0
Gesamtwertung,gesamt,Wertung,13.0
Geschäftsführung,Geschäft,Führung,13.0
Kulturzentrum,Kultur,Zentrum,13.0
Jahresversammlung,Jahr,Versammlung,13.0
Gesamtschule,gesamt,Schule,13.0
Motorradfahrer,Motorrad,Fahrer,13.0
Selbstvertrauen,selbst,Vertrauen,13.0
Umweltministerium,Umwelt,Ministerium,13.0
Selbstmord,selbst,Mord,13.0
Selbsthilfegruppe,Selbsthilfe,Gruppe,13.0
Umweltminister,Umwelt,Minister,13.0
Sozialhilfe,sozial,Hilfe,13.0
Geschäftsleute,Geschäft,Leute,13.0
Geschäftsmann,Geschäft,Mann,13.0
Wahlergebnis,Wahl,Ergebnis,13.0
Freistaat,frei,Staat,13.0
Ackermann,Acker,Mann,13.0
Spielfilm,Spiel,Film,13.0
Tabellenplatz,Tabelle,Platz,13.0
Gesetzgeber,Gesetz,Geber,13.0
Gutschein,gut,Schein,13.0
Achtelfinale,Achtel,Finale,13.0
Wahlbeteiligung,Wahl,Beteiligung,13.0
Kleinkind,klein,Kind,13.0
Kindertagesstätte,Kind,Tagesstätte,13.0
Nachbarland,Nachbar,Land,13.0
Zeitalter,Zeit,Alter,13.0
Gesundheitsreform,Gesundheit,Reform,13.0
Ansprechpartner,ansprechen,Partner,13.0
Sonntagabend,Sonntag,Abend,13.0
Gesundheitswesen,Gesundheit,wesen,13.0
Länderspiel,Land,Spiel,13.0
Landesamt,Land,Amt,13.0
Spielfeld,Spiel,Feld,13.0
Sozialamt,sozial,Amt,13.0
Wahlgang,Wahl,Gang,13.0
Gesetzentwurf,Gesetz,Entwurf,13.0
Freispruch,frei,Spruch,13.0
Freiheitsstrafe,Freiheit,Strafe,13.0
Theatergruppe,Theater,Gruppe,13.0
Viertelstunde,Viertel,Stunde,13.0
Zeitgenosse,Zeit,Genosse,13.0
Jahrestag,Jahr,Tag,13.0
Jahreswechsel,Jahr,Wechsel,13.0
Freibad,frei,Bad,13.0
Theaterstück,Theater,Stück,13.0
Bauzeit,Bau,Zeit,13.0
Bezirksamt,Bezirk,Amt,13.0
Frauenchor,Frau,Chor,13.0
Bauwerk,Bau,Werk,13.0
Jugendamt,Jugend,Amt,13.0
Währungsunion,Währung,Union,13.0
Übungsleiter,Übung,Leiter,13.0
Tagebuch,Tag,Buch,13.0
Foulelfmeter,Foul,Elfmeter,13.0
Vorabend,vor,Abend,13.0
Seitenwechsel,Seite,Wechsel,13.0
Freundeskreis,Freund,Kreis,13.0
Schulklasse,Schule,Klasse,13.0
Telekommunikation,tele,Kommunikation,13.0
Millimeter,milli,Meter,13.0
Schulhof,Schule,Hof,13.0
Schulhaus,Schule,Haus,13.0
Mindestlohn,mindeste,Lohn,13.0
Medienbericht,Medium,Bericht,13.0
Fußgängerzone,Fußgänger,Zone,13.0
Gegentor,gegen,Tor,13.0
Bodensee,Boden,See,13.0
Beihilfe,bei,Hilfe,13.0
Fußballspiel,Fußball,Spiel,13.0
Hallenbad,Halle,Bad,13.0
Verwaltungsrat,Verwaltung,Rat,13.0
Werkstätte,Werk,Stätte,13.0
Gehweg,gehen,Weg,13.0
Mitbürger,mit,Bürger,13.0
Amtsantritt,Amt,Antritt,13.0
Schwimmbad,schwimmen,Bad,13.0
Klassenerhalt,Klasse,Erhalt,13.0
Gegenspieler,gegen,Spieler,13.0
Verwaltungsgericht,Verwaltung,Gericht,13.0
Merkmal,merken,Mal,13.0
Umweg,um,Weg,13.0
Menschenrecht,Mensch,Recht,13.0
Altersgruppe,Alter,Gruppe,13.0
Altersklasse,Alter,Klasse,13.0
Altenheim,Alte,Heim,13.0
Gastspiel,Gast,Spiel,13.0
Gasthof,Gast,Hof,13.0
Meistertitel,Meister,Titel,13.0
Sparpaket,sparen,Paket,13.0
Mehrzahl,mehr,Zahl,13.0
Kunststoff,Kunst,Stoff,13.0
Handelskammer,Handel,Kammer,13.0
Teamkollege,Team,Kollege,13.0
Mehrwertsteuer,Mehrwert,Steuer,13.0
Kläranlage,klären,Anlage,13.0
Teamchef,Team,Chef,13.0
Gedenkstätte,gedenken,Stätte,13.0
Haltestelle,Halt,Stelle,13.0
Alleingang,allein,Gang,13.0
Haftbefehl,Haft,Befehl,13.0
Geldstrafe,Geld,Strafe,13.0
Trainingslager,Training,Lager,13.0
Börsengang,Börse,Gang,13.0
Weltrangliste,Weltrang,Liste,13.0
Tanzgruppe,Tanz,Gruppe,13.0
Kirchberg,Kirche,Berg,13.0
Schriftführer,Schrift,Führer,13.0
Bildhauer,Bild,Hauer,13.0
Haftstrafe,Haft,Strafe,13.0
Testspiel,Test,Spiel,13.0
Mittwochabend,Mittwoch,Abend,13.0
Gerichtshof,Gericht,Hof,13.0
Justizminister,Justiz,Minister,13.0
Selbstbewusstsein,selbst,Bewusstsein,13.0
Schreibtisch,schreiben,Tisch,13.0
Friedensprozess,Frieden,Prozess,13.0
Männerchor,Mann,Chor,13.0
Zentralbank,zentral,Bank,13.0
Montagabend,Montag,Abend,13.0
Zweitligist,zweite,Ligist,13.0
Männergesangverein,Mann,Gesangverein,13.0
Generalversammlung,general,Versammlung,13.0
Generaldirektor,general,Direktor,13.0
Mittelstand,mittlere,Stand,13.0
Kunsthalle,Kunst,Halle,13.0
Beirat,bei,Rat,13.0
Mitgliedstaat,Mitglied,Staat,13.0
Albtraum,Alb,Traum,13.0
Mitstreiter,mit,Streiter,13.0
Mittagessen,Mittag,Essen,13.0
Mittelalter,mittlere,Alter,13.0
Zweikampf,zwei,Kampf,13.0
Verteidigungsministerium,Verteidigung,Ministerium,13.0
Gemeindezentrum,Gemeinde,Zentrum,13.0
Führungskraft,Führung,Kraft,13.0
Mittelfeldspieler,Mittelfeld,Spieler,13.0
Marktwirtschaft,Markt,Wirtschaft,13.0
Jahrtausend,Jahr,Tausend,13.0
Weltrekord,Welt,Rekord,13.0
Terroranschlag,Terror,Anschlag,13.0
Werkzeug,werken,Zeug,13.0
Zeitplan,Zeit,Plan,13.0
Aktienmarkt,Aktie,Markt,13.0
Tarifvertrag,Tarif,Vertrag,13.0
Kinderbetreuung,Kind,Betreuung,13.0
Notarzt,Not,Arzt,13.0
Schlusslicht,Schluss,Licht,13.0
Wirtschaftskammer,Wirtschaft,Kammer,13.0
Rückschlag,rück,Schlag,13.0
Rückrunde,rück,Runde,13.0
Plattform,platt,Form,13.0
Wirtschaftskrise,Wirtschaft,Krise,13.0
Augenzeuge,Auge,Zeuge,13.0
Podiumsdiskussion,Podium,Diskussion,13.0
Polizeiangabe,Polizei,Angabe,13.0
Rückblick,rück,Blick,13.0
Polizeibeamter,Polizei,Beamter,13.0
Ermittlungsverfahren,Ermittlung,Verfahren,13.0
Polizeiinspektion,Polizei,Inspektion,13.0
Wirtschaftsministerium,Wirtschaft,Ministerium,13.0
Steuerreform,Steuer,Reform,13.0
Vorstandschef,Vorstand,Chef,13.0
Ausbildungsplatz,Ausbildung,Platz,13.0
Wirtschaftspolitik,Wirtschaft,Politik,13.0
Verfassungsschutz,Verfassung,Schutz,13.0
Rollstuhl,rollen,Stuhl,13.0
Rohstoff,roh,Stoff,13.0
Wahlsieg,Wahl,Sieg,13.0
Stellenwert,Stelle,Wert,13.0
Kommunalpolitiker,kommunal,Politiker,13.0
Erdgeschoss,Erde,Geschoss,13.0
Sprechstunde,sprechen,Stunde,13.0
Erdgas,Erde,Gas,13.0
Erdbeben,Erde,Beben,13.0
Preisgeld,Preis,Geld,13.0
Polizeisprecher,Polizei,Sprecher,13.0
Wirtschaftswachstum,Wirtschaft,Wachstum,13.0
Rückspiel,rück,Spiel,13.0
Datenbank,Daten,Bank,13.0
Saisonsieg,Saison,Sieg,13.0
Stockwerk,Stock,Werk,13.0
Internetseite,Internet,Seite,13.0
Saisonende,Saison,Ende,13.0
Fachleute,Fach,Leute,13.0
Fachkraft,Fach,Kraft,13.0
Kaufmann,Kauf,Mann,13.0
Fachbereich,Fach,Bereich,13.0
Bargeld,bar,Geld,13.0
Pfarrgemeinde,Pfarre,Gemeinde,13.0
Pfarrheim,Pfarre,Heim,13.0
Heimatland,Heimat,Land,13.0
Trinkwasser,trinken,Wasser,13.0
Heimsieg,Heim,Sieg,13.0
Heimatstadt,Heimat,Stadt,13.0
Krankenversicherung,Kranke,Versicherung,13.0
Krankenschwester,Kranke,Schwester,13.0
Pflegeheim,Pflege,Heim,13.0
Rundfahrt,rund,Fahrt,13.0
Europameisterschaft,Europa,Meisterschaft,13.0
Europameister,Europa,Meister,13.0
Europacup,Europa,Cup,13.0
Eucharistiefeier,Eucharistie,Feier,13.0
Auftraggeber,Auftrag,Geber,13.0
Steuerzahler,Steuer,Zahler,13.0
Kaufhaus,Kauf,Haus,13.0
Rufnummer,Ruf,Nummer,13.0
Interessengemeinschaft,Interesse,Gemeinschaft,13.0
Rundgang,rund,Gang,13.0
Saisonstart,Saison,Start,13.0
Ausgangspunkt,Ausgang,Punkt,13.0
Preisträger,Preis,Träger,13.0
Wohngebiet,wohnen,Gebiet,13.0
Auswärtsspiel,auswärts,Spiel,13.0
Ausweg,aus,Weg,13.0
Ratschlag,Rat,Schlag,13.0
Ratsmitglied,Rat,Mitglied,13.0
Stadttheater,Stadt,Theater,13.0
Einkaufszentrum,Einkauf,Zentrum,13.0
Hochhaus,hoch,Haus,13.0
Dorfgemeinschaftshaus,Dorfgemeinschaft,Haus,13.0
Staatsoper,Staat,Oper,13.0
Reisebüro,Reise,Büro,13.0
Wohnort,wohnen,Ort,13.0
Vorurteil,vor,Urteil,13.0
Verbandsgemeinderat,Verbandsgemeinde,Rat,13.0
Autohaus,Auto,Haus,13.0
Drehbuch,drehen,Buch,13.0
Ehrgeiz,Ehre,Geiz,13.0
Innensenator,innen,Senator,13.0
Staatstheater,Staat,Theater,13.0
Ehrennadel,Ehre,Nadel,13.0
Stadtgebiet,Stadt,Gebiet,13.0
Ehrengast,Ehre,Gast,13.0
Redaktionsmitglied,Redaktion,Mitglied,13.0
Regionalligist,regional,Ligist,13.0
Vorwoche,vor,Woche,13.0
Stadtbibliothek,Stadt,Bibliothek,13.0
Wohnzimmer,wohnen,Zimmer,13.0
Regierungsrat,Regierung,Rat,13.0
Eigentor,eigen,Tor,13.0
Hochwasser,hoch,Wasser,13.0
Verbandsliga,Verband,Liga,13.0
Rahmenbedingung,Rahmen,Bedingung,13.0
Entwicklungsland,Entwicklung,Land,13.0
Pressemitteilung,Presse,Mitteilung,13.0
Wahlkreis,Wahl,Kreis,13.0
Vorstandsvorsitzender,Vorstand,Vorsitzender,13.0
Vereinsmitglied,Verein,Mitglied,13.0
Rheintal,Rhein,Tal,13.0
Dienstagabend,Dienstag,Abend,13.0
Untersuchungsausschuss,Untersuchung,Ausschuss,13.0
Vereinsheim,Verein,Heim,13.0
Endstand,Ende,Stand,13.0
Startschuss,Start,Schuss,13.0
Untersuchungshaft,Untersuchung,Haft,13.0
Elfmeter,elf,Meter,13.0
Rahmenprogramm,Rahmen,Programm,13.0
Kopfball,Kopf,Ball,13.0
Außenministerium,außen,Ministerium,13.0
Außenpolitik,außen,Politik,13.0
Verbraucherzentrale,Verbraucher,Zentrale,13.0
Eisenbahn,Eisen,Bahn,13.0
Eisbär,Eis,Bär,13.0
Staatschef,Staat,Chef,13.0
Stammtisch,Stamm,Tisch,13.0
Donnerstagabend,Donnerstag,Abend,13.0
Hilfsorganisation,Hilfe,Organisation,13.0
Einzelfall,einzeln,Fall,13.0
Eintrittskarte,Eintritt,Karte,13.0
Radsport,Rad,Sport,13.0
Radweg,Rad,Weg,13.0
Standpunkt,Stand,Punkt,13.0
Schlussphase,Schluss,Phase,13.0
Kanzleramt,Kanzler,Amt,13.0
Fahrplan,fahren,Plan,13.0
Neugestaltung,neu,Gestaltung,13.0
Klimaschutz,Klima,Schutz,13.0
Neuregelung,neu,Regelung,13.0
Bundesanstalt,Bund,Anstalt,13.0
Spielzeug,Spiel,Zeug,13.0
Studiengebühr,Studium,Gebühr,13.0
Studiengang,Studium,Gang,13.0
Bundesbank,Bund,Bank,13.0
Bundesbürger,Bund,Bürger,13.0
Niederösterreich,nieder,Österreich,13.0
Finanzministerium,Finanzen,Ministerium,13.0
Finanzmarkt,Finanzen,Markt,13.0
Finanzkrise,Finanzen,Krise,13.0
Baumaßnahme,Bau,Maßnahme,13.0
Bundesgerichtshof,Bund,Gerichtshof,13.0
Arbeitskraft,Arbeit,Kraft,13.0
Finanzamt,Finanzen,Amt,13.0
Arbeitslosengeld,Arbeitslose,Geld,13.0
Arbeitslosenquote,Arbeitslose,Quote,13.0
Bundeskriminalamt,Bund,Kriminalamt,13.0
Klimawandel,Klima,Wandel,13.0
Linkspartei,links,Partei,13.0
Notenbank,Note,Bank,13.0
Notfall,Not,Fall,13.0
Bundesligist,Bund,Ligist,13.0
Baugebiet,Bau,Gebiet,13.0
Notruf,Not,Ruf,13.0
Filmemacher,Film,Macher,13.0
Bauherr,Bau,Herr,13.0
Vorliebe,vor,Liebe,13.0
Neubaugebiet,Neubau,Gebiet,13.0
Bühnenbild,Bühne,Bild,13.0
Südwest,Süden,West,13.0
Nahost,nah,Ost,13.0
Jahresbericht,Jahr,Bericht,13.0
Nahrungsmittel,Nahrung,Mittel,13.0
Nahverkehr,nah,Verkehr,13.0
Bruttoinlandsprodukt,brutto,Inlandsprodukt,13.0
Jahresbeginn,Jahr,Beginn,13.0
Namenstag,Name,Tag,13.0
Zehntausend,zehn,Tausend,13.0
Kennzeichen,kennen,Zeichen,13.0
Anzeichen,an,Zeichen,13.0
Flugplatz,Flug,Platz,13.0
Südafrika,Süden,Afrika,13.0
Neuauflage,neu,Auflage,13.0
Nationalpark,national,Park,13.0
Nationalsozialismus,national,Sozialismus,13.0
Nationalteam,national,Team,13.0
Fluggesellschaft,Flug,Gesellschaft,13.0
Schlagzeug,Schlag,Zeug,13.0
Buchhandlung,Buch,Handlung,13.0
Naturschutz,Natur,Schutz,13.0
Flohmarkt,Floh,Markt,13.0
Hauptplatz,haupt,Platz,13.0
Neonazi,neo,Nazi,13.0
Kubikmeter,Kubik,Meter,13.0
Stundenkilometer,Stunde,Kilometer,13.0
Hauptrolle,haupt,Rolle,13.0
Hauptsache,haupt,Sache,13.0
Spielraum,Spiel,Raum,13.0
Kaufpreis,Kauf,Preis,13.0
Feuerwerk,Feuer,werk,13.0
Feuerwehrleute,Feuerwehr,Leute,13.0
Ortsbeirat,Ort,Beirat,13.0
Ortsgruppe,Ort,Gruppe,13.0
Kreistag,Kreis,Tag,13.0
Ortsteil,Ort,Teil,13.0
Ortsverband,Ort,Verband,13.0
Ortsvorsteher,Ort,Vorsteher,13.0
Ostdeutschland,Osten,Deutschland,13.0
Kreisstadt,Kreis,Stadt,13.0
Straßenbahn,Straße,Bahn,13.0
Haustür,Haus,Tür,13.0
Sportdirektor,Sport,Direktor,13.0
Osteuropa,Osten,Europa,13.0
Wartezeit,warten,Zeit,13.0
Bußgeld,Buße,Geld,13.0
Winterpause,Winter,Pause,13.0
Sportfreund,Sport,Freund,13.0
Chefredakteur,Chef,Redakteur,13.0
Familienvater,Familie,Vater,13.0
Strafraum,Strafe,Raum,13.0
Parlamentswahl,Parlament,Wahl,13.0
Atomkraftwerk,Atom,Kraftwerk,13.0
Parteifreund,Partei,Freund,13.0
Kantonspolizei,Kanton,Polizei,13.0
Zahnarzt,Zahn,Arzt,13.0
Chorprobe,Chor,Probe,13.0
Informationsveranstaltung,Information,Veranstaltung,13.0
Christdemokrat,Christ,Demokrat,13.0
Koalitionspartner,Koalition,Partner,13.0
Asylbewerber,Asyl,Bewerber,13.0
Feuerwehrmann,Feuerwehr,Mann,13.0
Sportart,Sport,Art,13.0
Kreisvorsitzende,Kreis,Vorsitzende,13.0
