compound,modifier,head,frequency_class,level
Brennstoffzellenfahrzeug,Brennstoffzelle,Fahrzeug,21.0,3
Bruchsteinmauerwerk,Bruchstein,Mauerwerk,nan,2
Brunnenbauerhandwerk,Brunnenbauer,Handwerk,nan,2
Buchweizenpfannkuchen,Buchweizen,Pfannkuchen,nan,2
Bugradfahrwerk,Bugrad,Fahrwerk,nan,2
Bulldoggfledermaus,Bulldogge,Fledermaus,nan,2
Bundesausbildungsförderungsgesetz,Bund,Ausbildungsförderungsgesetz,20.0,2
Bundesdatenschutzbeauftragte,Bund,Datenschutzbeauftragte,nan,2
Bundesdatenschutzgesetz,Bund,Datenschutzgesetz,19.0,2
Bundesfernstraßengesetz,Bundesfernstraße,Gesetz,23.0,2
Bundesfernstraßennetz,Bund,Fernstraßennetz,23.0,2
Bundesimmissionsschutzgesetz,Bund,Immissionsschutzgesetz,19.0,2
Bundeslandwirtschaftsminister,Bund,Landwirtschaftsminister,17.0,2
Bundeslandwirtschaftsministerium,Bund,Landwirtschaftsministerium,18.0,2
Bundesligaauftakt,Bundesliga,Auftakt,21.0,2
Bundesligaheimspiel,Bundesliga,Heimspiel,22.0,2
Bundesligaschiedsrichter,Bundesliga,Schiedsrichter,21.0,2
Bundesligaspieltag,Bundesliga,Spieltag,20.0,2
Bundesligaspitzenspiel,Bundesliga,Spitzenspiel,nan,2
Bundesligatorschützenkönig,Bundesliga,Torschützenkönig,nan,3
Bundesligawochenende,Bundesliga,Wochenende,nan,2
Bundesnaturschutzgesetz,Bund,Naturschutzgesetz,18.0,2
Bundespersonalvertretungsgesetz,Bund,Personalvertretungsgesetz,nan,2
Bundesratsmitglied,Bundesrat,Mitglied,20.0,2
Bundesrechtsanwaltskammer,Bund,Rechtsanwaltskammer,19.0,2
Bundessozialhilfegesetz,Bund,Sozialhilfegesetz,18.0,2
Bundesstaatshauptstadt,Bundesstaat,Hauptstadt,nan,2
Bundestagsdrucksache,Bundestag,Drucksache,21.0,2
Bundestagsfraktionschef,Bundestag,Fraktionschef,19.0,2
Bundestagsinnenausschuss,Bundestag,Innenausschuss,20.0,2
Bundestagsmitglied,Bundestag,Mitglied,19.0,2
Bundestagsuntersuchungsausschuss,Bundestag,Untersuchungsausschuss,22.0,2
Bundestagswahlergebnis,Bundestagswahl,Ergebnis,20.0,2
Bundestagswahljahr,Bundestag,Wahljahr,20.0,2
Bundestagswahlkampf,Bundestag,Wahlkampf,15.0,2
Bundestagswahlkreis,Bundestag,Wahlkreis,18.0,2
Bundestagswahlprogramm,Bundestagswahl,Programm,21.0,2
Bundestagswahlrecht,Bundestagswahl,Recht,22.0,2
Bundesumweltamt,Bund,Umweltamt,19.0,2
Bundesumweltminister,Bund,Umweltminister,14.0,2
Bundesumweltministerium,Bund,Umweltministerium,15.0,2
Bundesverbraucherschutzminister,Bund,Verbraucherschutzminister,nan,2
Bundesverfassungsgerichtsgesetz,Bundesverfassungsgericht,Gesetz,22.0,2
Bundesverfassungsgerichtsurteil,Bund,Verfassungsgerichtsurteil,20.0,2
Bundesverfassungsschutzgesetz,Bundesverfassungsschutz,Gesetz,23.0,2
Bundesvorstandsmitglied,Bundesvorstand,Mitglied,18.0,2
Bundeswehrfachschule,Bundeswehr,Fachschule,21.0,2
Bundeswehrfahrzeug,Bundeswehr,Fahrzeug,20.0,2
Bundeswehrkrankenhaus,Bundeswehr,Krankenhaus,18.0,2
Bundeswehrstandort,Bundeswehr,Standort,18.0,2
Bundeszahnärztekammer,Bund,Zahnärztekammer,20.0,2
Buntsandsteinfelsen,Buntsandstein,Felsen,nan,2
Busfahrplanänderung,Busfahrplan,Änderung,nan,2
Bußgeldvorschrift,Bußgeld,Vorschrift,22.0,2
Bürgermeisterwahlkampf,Bürgermeister,Wahlkampf,19.0,2
Chemienobelpreisträger,Chemie,Nobelpreisträger,23.0,2
Chipkartenlesegerät,Chipkarte,Lesegerät,nan,2
Chlorkohlenwasserstoff,Chlor,Kohlenwasserstoff,21.0,2
Christbaumsammelaktion,Christbaum,Sammelaktion,nan,2
Computerfachzeitschrift,Computer,Fachzeitschrift,24.0,2
Dachdeckerhandwerk,Dachdecker,Handwerk,19.0,2
Damenarmbanduhr,Dame,Armbanduhr,21.0,2
Dampfschifffahrtsgesellschaft,Dampfschifffahrt,Gesellschaft,22.0,2
Datenschutzrichtlinie,Datenschutz,Richtlinie,21.0,2
Datenschutzvorschrift,Datenschutz,Vorschrift,22.0,2
Datenverarbeitungskauffrau,Datenverarbeitung,Kauffrau,nan,2
Datenverarbeitungskaufmann,Datenverarbeitung,Kaufmann,22.0,2
Denkmalbaustelle,Denkmal,Baustelle,nan,2
Denkmalpflegeplan,Denkmalpflege,Plan,nan,2
Denkmalschutzamt,Denkmalschutz,Amt,19.0,2
Denkmalschutzauflage,Denkmalschutz,Auflage,21.0,2
Denkmalschutzbehörde,Denkmalschutz,Behörde,17.0,2
Denkmalschutzgesetz,Denkmalschutz,Gesetz,19.0,2
Dienstleistungsknotenpunkt,Dienstleistung,Knotenpunkt,nan,2
Dienstleistungsstandbein,Dienstleistung,Standbein,nan,2
Dienstleistungsstandort,Dienstleistung,Standort,20.0,2
Düsenverkehrsflugzeug,Düse,Verkehrsflugzeug,22.0,2
Echtzeitbetriebssystem,Echtzeit,Betriebssystem,nan,2
Echtzeitstrategiespiel,Echtzeit,Strategiespiel,nan,2
Ehegattennachzug,Ehegatte,Nachzug,21.0,2
Eigenheimzulagengesetz,Eigenheimzulage,Gesetz,21.0,2
Eigenkapitalanteil,Eigenkapital,Anteil,19.0,2
Eigenkapitalrichtlinie,Eigenkapital,Richtlinie,nan,2
Eigenkapitalvorschrift,Eigenkapital,Vorschrift,20.0,2
Einzelhandelskauffrau,Einzelhandel,Kauffrau,18.0,2
Einzelhandelskaufleute,Einzelhandel,Kaufleute,nan,2
Einzelhandelskaufmann,Einzelhandel,Kaufmann,17.0,2
Einzelhandelsstandort,Einzelhandel,Standort,20.0,2
Eisenbahnbundesamt,Eisenbahn,Bundesamt,17.0,2
Eisenbahnfahrweg,Eisenbahn,Fahrweg,nan,2
Eisenbahnfahrzeug,Eisenbahn,Fahrzeug,nan,2
Eisenbahngüterverkehr,Eisenbahn,Güterverkehr,nan,2
Eisenbahngüterwagen,Eisenbahn,Güterwagen,nan,2
Eisenbahnknotenpunkt,Eisenbahn,Knotenpunkt,19.0,2
Eisenbahnverkehrsunternehmen,Eisenbahn,Verkehrsunternehmen,nan,2
Eisenbahnwerkstätte,Eisenbahn,Werkstätte,nan,2
Eisenerzbergbau,Eisenerz,Bergbau,nan,2
Eisenerzbergwerk,Eisen,Erzbergwerk,22.0,2
Eisenerzlagerstätte,Eisenerz,Lagerstätte,nan,2
Eishockeybundesliga,Eishockey,Bundesliga,nan,2
Eishockeybundestrainer,Eishockey,Bundestrainer,nan,2
Eishockeynationalmannschaft,Eishockey,Nationalmannschaft,nan,2
Eishockeynationalspieler,Eishockey,Nationalspieler,nan,2
Eishockeyprofiliga,Eishockey,Profiliga,nan,2
Eiskunstlaufverein,Eiskunstlauf,Verein,nan,2
Eisschnelllaufeuropameisterschaft,Eisschnelllauf,Europameisterschaft,nan,2
Eiweißanteil,Eiweiß,Anteil,22.0,2
Elbsandsteingebirge,Elbe,Sandsteingebirge,19.0,2
Endlagerstandort,Endlager,Standort,20.0,2
Erbbaurechtsvertrag,Erbbaurecht,Vertrag,19.0,2
Erdbeerbaumfalter,Erdbeerbaum,Falter,nan,2
Erdbeerfingerkraut,Erdbeere,Fingerkraut,nan,2
Erdbewegungsmaschinenführer,Erdbewegung,Maschinenführer,nan,2
Erdgasfahrzeug,Erdgas,Fahrzeug,18.0,2
Erdgaslagerstätte,Erdgas,Lagerstätte,22.0,2
Erdgastankstelle,Erdgas,Tankstelle,19.0,2
Erdkampfflugzeug,Erdkampf,Flugzeug,22.0,2
Erdnussplatterbse,Erdnuss,Platterbse,nan,2
Erdöllagerstätte,Erdöl,Lagerstätte,nan,2
Erntedankgottesdienst,Erntedank,Gottesdienst,18.0,2
Europapokalwettbewerb,Europapokal,Wettbewerb,22.0,2
Fachhochschulabschluss,Fachhochschule,Abschluss,20.0,2
Fachhochschulabsolvent,Fachhochschule,Absolvent,19.0,2
Fachhochschulausbildung,Fachhochschule,Ausbildung,21.0,2
Fachhochschulreife,Fachhochschule,Reife,nan,2
Fachhochschulstudiengang,Fachhochschule,Studiengang,20.0,3
Fachhochschulstudium,Fachhochschule,Studium,19.0,2
Fachhochschulzeugnis,Fachhochschule,Zeugnis,nan,2
Fachoberschulreife,Fachoberschule,Reife,nan,2
Fachwerkbauweise,Fachwerk,Bauweise,21.0,2
Fahrbahnoberfläche,Fahrbahn,Oberfläche,20.0,2
Fahrgastaufkommen,Fahrgast,Aufkommen,19.0,2
Fahrgastbeirat,Fahrgast,Beirat,19.0,2
Fahrgeldeinnahme,Fahrgeld,Einnahme,21.0,2
Fahrradabstellanlage,Fahrrad,Abstellanlage,21.0,2
Fahrradabstellmöglichkeit,Fahrrad,Abstellmöglichkeit,nan,2
Fahrradabstellplatz,Fahrrad,Abstellplatz,20.0,2
Fahrradführerschein,Fahrrad,Führerschein,nan,2
Fahrradgepäckträger,Fahrrad,Gepäckträger,nan,2
Fahrradparkhaus,Fahrrad,Parkhaus,19.0,2
Fahrradparkplatz,Fahrrad,Parkplatz,20.0,2
Fahrradstellplatz,Fahrrad,Stellplatz,20.0,2
Fahrradsternfahrt,Fahrrad,Sternfahrt,21.0,2
Fahrradwegenetz,Fahrradweg,Netz,nan,2
Fahrradwettbewerb,Fahrrad,Wettbewerb,23.0,2
Fahrzeugbauingenieur,Fahrzeugbau,Ingenieur,nan,2
Fahrzeugbodenbelag,Fahrzeug,Bodenbelag,nan,2
Fahrzeuginnenausstattung,Fahrzeug,Innenausstattung,nan,2
Fahrzeuginnenraum,Fahrzeug,Innenraum,21.0,2
Fahrzeuginnenraumreinigung,Fahrzeuginnenraum,Reinigung,nan,3
Fahrzeugkennzeichen,Fahrzeug,Kennzeichen,nan,2
Fallschirmjägerbataillon,Fallschirmjäger,Bataillon,21.0,2
Fallschirmjägerbrigade,Fallschirmjäger,Brigade,nan,2
Fallschirmjägerdivision,Fallschirmjäger,Division,nan,2
Fallschirmjägereinheit,Fallschirmjäger,Einheit,22.0,2
Fallschirmjägerregiment,Fallschirmjäger,Regiment,23.0,2
Fallschirmjägertruppe,Fallschirmjäger,Truppe,23.0,2
Fallschirmjägerzug,Fallschirmjäger,Zug,nan,2
Faserverbundwerkstoff,Faser,Verbundwerkstoff,21.0,2
Fastnachtssonntag,Fastnacht,Sonntag,18.0,2
Feiertagsfahrverbot,Feiertag,Fahrverbot,21.0,2
Fernverkehrsbahnhof,Fernverkehr,Bahnhof,nan,2
Festnetzrufnummer,Festnetz,Rufnummer,nan,2
Festnetztelefonnummer,Festnetz,Telefonnummer,nan,2
Festplattenlaufwerk,Festplatte,Laufwerk,nan,2
Fetthennensteinbrech,Fetthenne,Steinbrech,nan,2
Fettstoffwechselstörung,Fett,Stoffwechselstörung,19.0,2
Feuerwehrdienstvorschrift,Feuerwehr,Dienstvorschrift,nan,3
Feuerwehrfahrzeug,Feuerwehr,Fahrzeug,16.0,2
Feuerwehrgerätehaus,Feuerwehr,Gerätehaus,14.0,2
Feuerwehrhauptmann,Feuerwehr,Hauptmann,20.0,2
Feuerwehrleitstelle,Feuerwehr,Leitstelle,20.0,2
Feuerwehrmitglied,Feuerwehr,Mitglied,17.0,2
Finanzdienstleistungsbereich,Finanzdienstleistung,Bereich,21.0,2
Finanzdienstleistungsunternehmen,Finanzen,Dienstleistungsunternehmen,21.0,2
Flugabwehrraketensystem,Flugabwehrrakete,System,nan,2
Fluggastaufkommen,Fluggast,Aufkommen,21.0,2
Flughafenbahnhof,Flughafen,Bahnhof,20.0,2
Flughafenfeuerwehr,Flughafen,Feuerwehr,19.0,2
Flughafengeschäftsführer,Flughafen,Geschäftsführer,nan,2
Flughafenseelsorge,Flughafen,Seelsorge,nan,2
Flugkörperschnellboot,Flugkörper,Schnellboot,nan,2
Flugzeugmutterschiff,Flugzeug,Mutterschiff,nan,2
Flugzeugtragfläche,Flugzeug,Tragfläche,nan,2
Flugzeugtreibstoff,Flugzeug,Treibstoff,22.0,2
Fluorchlorkohlenwasserstoff,Fluor,Chlorkohlenwasserstoff,18.0,3
Fluorkohlenwasserstoff,Fluor,Kohlenwasserstoff,20.0,2
Fluorwasserstoffsäure,Fluorwasserstoff,Säure,23.0,2
Flüssigkristallbildschirm,Flüssigkristall,Bildschirm,nan,2
Forstschutzmaßnahme,Forstschutz,Maßnahme,nan,2
Frauenfußballbundesliga,Frauenfußball,Bundesliga,nan,3
Frauenfußballmannschaft,Frau,Fußballmannschaft,nan,2
Frauenfußballmeisterschaft,Frauenfußball,Meisterschaft,nan,2
Frauenfußballverein,Frauenfußball,Verein,nan,2
Frauenhandballnationalmannschaft,Frau,Handballnationalmannschaft,nan,3
Freilandanbau,Freiland,Anbau,22.0,2
Freitagnachmittag,Freitag,Nachmittag,15.0,2
Freitagvormittag,Freitag,Vormittag,17.0,2
Freizeitfahrzeug,Freizeit,Fahrzeug,19.0,2
Freizeitfußball,Freizeit,Fußball,21.0,2
Freizeitsportart,Freizeit,Sportart,21.0,2
Fremdkapitalanteil,Fremdkapital,Anteil,nan,2
Fremdwährungsanleihe,Fremdwährung,Anleihe,nan,2
Friedensnobelpreisträger,Friedensnobelpreis,Träger,16.0,2
Frostschutzmaßnahme,Frostschutz,Maßnahme,nan,2
Frühjahrshochwasser,Frühjahr,Hochwasser,21.0,2
Frühjahrsvollversammlung,Frühjahr,Vollversammlung,20.0,2
Fußballbundesliga,Fußball,Bundesliga,18.0,2
Fußballbundestrainer,Fußball,Bundestrainer,22.0,2
Fußballeuropameister,Fußball,Europameister,nan,2
Fußballeuropameisterschaft,Fußball,Europameisterschaft,19.0,2
Fußballlandesliga,Fußball,Landesliga,nan,2
Fußballländerspiel,Fußball,Länderspiel,21.0,2
Fußballnationalmannschaft,Fußball,Nationalmannschaft,17.0,2
Fußballnationalspieler,Fußball,Nationalspieler,19.0,2
Fußballnationalteam,Fußball,Nationalteam,nan,2
Fußballnationaltrainer,Fußball,Nationaltrainer,22.0,2
Fußballoberliga,Fußball,Oberliga,23.0,2
Fußballregionalliga,Fußball,Regionalliga,nan,2
Fußballrekordmeister,Fußball,Rekordmeister,nan,2
Fußballschiedsrichter,Fußball,Schiedsrichter,19.0,2
Fußballtorhüter,Fußball,Torhüter,nan,2
Fußballtorwart,Fußball,Torwart,21.0,2
Fußballweltmeister,Fußball,Weltmeister,18.0,2
Fußballweltverband,Fußball,Weltverband,20.0,2
Fußballwettbewerb,Fußball,Wettbewerb,21.0,2
Fußballwettskandal,Fußball,Wettskandal,nan,2
Fußgängerüberweg,Fußgänger,Überweg,16.0,2
Fußreflexzonenmassage,Fuß,Reflexzonenmassage,19.0,2
Gartendenkmalpflege,Gartendenkmal,Pflege,21.0,2
Geburtstagsglückwunsch,Geburtstag,Glückwunsch,19.0,2
Gebärmutterhalskrebs,Gebärmutterhals,Krebs,17.0,2
Gebärmutterschleimhaut,Gebärmutter,Schleimhaut,20.0,2
Gebäudereinigerhandwerk,Gebäudereiniger,Handwerk,21.0,2
Gegenuhrzeigersinn,gegen,Uhrzeigersinn,nan,2
Geleitflugzeugträger,Geleit,Flugzeugträger,nan,2
Gemeinderatsmitglied,Gemeinderat,Mitglied,16.0,2
Gemeindesteuereinnahme,Gemeinde,Steuereinnahme,nan,2
Gemüseanbaugebiet,Gemüse,Anbaugebiet,22.0,2
Gesamtbetriebsratschef,Gesamtbetriebsrat,Chef,18.0,2
Gesamtbetriebsratsvorsitzende,Gesamtbetriebsrat,Vorsitzende,18.0,2
Gesamtbetriebsratsvorsitzender,Gesamtbetriebsrat,Vorsitzender,nan,2
Gesamtmitgliederzahl,gesamt,Mitgliederzahl,21.0,2
Gesamtsozialversicherungsbeitrag,gesamt,Sozialversicherungsbeitrag,nan,2
Geschäftsreiseflugzeug,Geschäftsreise,Flugzeug,21.0,2
Gesetzgebungsnotstand,Gesetzgebung,Notstand,23.0,2
Gewandhauskapellmeister,Gewandhaus,Kapellmeister,20.0,2
Gewerbesteueraufkommen,Gewerbe,Steueraufkommen,19.0,2
Gewerbesteuereinnahme,Gewerbesteuer,Einnahme,16.0,2
Gewerbesteuerhebesatz,Gewerbesteuer,Hebesatz,20.0,2
Gewächshausheuschrecke,Gewächshaus,Heuschrecke,nan,2
Giftnotrufzentrale,Gift,Notrufzentrale,20.0,2
Glaskeramikkochfeld,Glaskeramik,Kochfeld,nan,2
Glasmacherwerkzeug,Glasmacher,Werkzeug,nan,2
Gleichbehandlungsgrundsatz,Gleichbehandlung,Grundsatz,19.0,2
Gleichstellungsmaßnahme,Gleichstellung,Maßnahme,nan,2
Großbildleinwand,Großbild,Leinwand,16.0,2
Großhandelskauffrau,Großhandel,Kauffrau,21.0,2
Großhandelskaufmann,Großhandel,Kaufmann,19.0,2
Großhirnhemisphäre,Großhirn,Hemisphäre,nan,2
Großraumflugzeug,Großraum,Flugzeug,17.0,2
Grundlagenforschungsbedarf,Grundlagenforschung,Bedarf,nan,2
Grundstücksanteil,Grundstück,Anteil,21.0,2
Grundstückskaufvertrag,Grundstück,Kaufvertrag,21.0,2
Grundstücksverwaltungsgesellschaft,Grundstück,Verwaltungsgesellschaft,20.0,2
Grundwasserabsenkungsanlage,Grundwasserabsenkung,Anlage,nan,2
Grundwasserneubildung,Grundwasser,Neubildung,22.0,2
Grundwasserstockwerk,Grundwasser,Stockwerk,nan,2
Güterkraftverkehrsgesetz,Güterkraftverkehr,Gesetz,nan,2
Haifischflossensuppe,Haifischflosse,Suppe,22.0,2
Halbfinalhinspiel,Halbfinale,Hinspiel,21.0,2
Halbfinalrückspiel,Halbfinale,Rückspiel,21.0,2
Halbkettenfahrzeug,halb,Kettenfahrzeug,nan,2
Halbleiterbauelement,Halbleiter,Bauelement,22.0,2
Halbleiterbaustein,Halbleiter,Baustein,nan,2
Halbschwergewichtsklasse,Halbschwergewicht,Klasse,nan,2
Hallenfußballturnier,Hallenfußball,Turnier,17.0,2
Handballbundesliga,Handball,Bundesliga,21.0,2
Handballeuropameisterschaft,Handball,Europameisterschaft,nan,2
Handballnationalmannschaft,Handball,Nationalmannschaft,22.0,2
Handballnationalspieler,Handball,Nationalspieler,nan,2
Handballrekordmeister,Handball,Rekordmeister,nan,2
Handballtorwart,Handball,Torwart,nan,2
Handballweltmeister,Handball,Weltmeister,nan,2
Hauptanbaugebiet,haupt,Anbaugebiet,20.0,2
Hauptanteilseigner,haupt,Anteilseigner,19.0,2
Haupteinnahmequelle,haupt,Einnahmequelle,18.0,2
Hausmeisterehepaar,Hausmeister,Ehepaar,21.0,2
Heimvolkshochschule,Heim,Volkshochschule,19.0,2
Herrenarmbanduhr,Herr,Armbanduhr,20.0,2
Hochbaufacharbeiter,Hochbau,Facharbeiter,nan,2
Hochbaumaßnahme,Hochbau,Maßnahme,21.0,2
Hochdruckwetterlage,Hochdruck,Wetterlage,22.0,2
Hochfrequenzbauteil,Hochfrequenz,Bauteil,nan,2
Hochschulalltag,Hochschule,Alltag,22.0,2
Hochschulentwicklungsplan,Hochschule,Entwicklungsplan,22.0,2
Hochschullaufbahn,Hochschule,Laufbahn,22.0,2
Hochschulmitglied,Hochschule,Mitglied,22.0,2
Hochschulrahmengesetz,Hochschule,Rahmengesetz,17.0,2
Hochschulrektorenkonferenz,Hochschulrektor,Konferenz,17.0,2
Hochschulsportverband,Hochschule,Sportverband,21.0,2
Hochschulstandort,Hochschule,Standort,19.0,2
Hochschulzugangsberechtigung,Hochschule,Zugangsberechtigung,20.0,2
Hochseeschifffahrt,Hochsee,Schifffahrt,22.0,2
Hochwasserrückhaltebecken,Hochwasser,Rückhaltebecken,nan,2
Hochwasserschutzanlage,Hochwasserschutz,Anlage,21.0,2
Hochwasserschutzdamm,Hochwasser,Schutzdamm,nan,2
Hochwasserschutzkonzept,Hochwasserschutz,Konzept,nan,2
Hochwasserschutzmaßnahme,Hochwasserschutz,Maßnahme,18.0,3
Holzblasinstrumentenmacher,Holzblasinstrument,Macher,nan,2
Holzoberflächenveredler,Holzoberfläche,Veredler,nan,2
Holzspielzeugmacher,Holzspielzeug,Macher,nan,2
Hopfenanbaugebiet,Hopfenanbau,Gebiet,nan,2
Höhenluftkurort,Höhenluft,Kurort,23.0,2
Hörgeräteakustikerhandwerk,Hörgeräteakustiker,Handwerk,nan,3
Inschriftensteinmetz,Inschrift,Steinmetz,nan,2
Instandhaltungsmaßnahme,Instandhaltung,Maßnahme,20.0,2
Instandhaltungsrücklage,Instandhaltung,Rücklage,21.0,2
Jahresmitgliederversammlung,Jahr,Mitgliederversammlung,19.0,2
Jahresmitgliedsbeitrag,Jahr,Mitgliedsbeitrag,22.0,2
Jahresweltbestleistung,Jahr,Weltbestleistung,18.0,2
Jahrhundertbauwerk,Jahrhundert,Bauwerk,19.0,2
Jahrhunderthochwasser,Jahrhundert,Hochwasser,18.0,2
Jahrhundertjahrgang,Jahrhundert,Jahrgang,21.0,2
Johannisbeerglasflügler,Johannisbeere,Glasflügler,nan,2
Jugendarbeitsschutzgesetz,Jugendarbeit,Schutzgesetz,20.0,2
