compound,modifier,head,frequency_class
Abifeier,Abi,Feier,
Abiturfach,Abitur,Fach,21.0
Abiturfeier,Abitur,Feier,19.0
Abiturjahrgang,Abitur,Jahrgang,18.0
Abiturklasse,Abitur,Klasse,20.0
Abiturnote,Abitur,Note,19.0
Abiturprüfung,Abitur,Prüfung,17.0
Abiturzeugnis,Abitur,Zeugnis,19.0
Abklingbecken,abklingen,Becken,20.0
Abkühlphase,abkühlen,Phase,
Abkürzungspunkt,Abkürzung,Punkt,
Abkürzungsverzeichnis,Abkürzung,Verzeichnis,24.0
Abladeplatz,abladen,Platz,21.0
Ablagefläche,Ablage,Fläche,20.0
Ablagemappe,Ablage,Mappe,
Ablagemöglichkeit,Ablage,Möglichkeit,20.0
Ablageplatz,Ablage,Platz,
Ablagestapel,Ablage,Stapel,
Ablassbrief,Ablass,Brief,20.0
Ablasshandel,Ablass,Handel,19.0
Ablassprediger,Ablass,Prediger,23.0
Ablassrohr,ablassen,Rohr,
Ablassventil,ablassen,Ventil,23.0
Ablaufberg,ablaufen,Berg,22.0
Ablaufdatum,Ablauf,Datum,18.0
Ablaufleistung,Ablauf,Leistung,20.0
Ablaufloch,Ablauf,Loch,
Ablauforganisation,Ablauf,Organisation,20.0
Ablaufplan,Ablauf,Plan,19.0
Ablaufrinne,Ablauf,Rinne,22.0
Ablehnungsantrag,Ablehnung,Antrag,20.0
Ablehnungsbescheid,Ablehnung,Bescheid,19.0
Ablehnungsfront,Ablehnung,Front,18.0
Ablehnungsgesuch,Ablehnung,Gesuch,23.0
Ablehnungsgrund,Ablehnung,Grund,19.0
Ablehnungsquote,Ablehnung,Quote,20.0
Ablehnungsschreiben,Ablehnung,Schreiben,22.0
Ableitungsfunktion,Ableitung,Funktion,
Ableitungsregel,Ableitung,Regel,
Ablenkspule,ablenken,Spule,
Ablenkungsmanöver,Ablenkung,Manöver,16.0
Ablenkungsversuch,Ablenkung,Versuch,22.0
Abluft,ab,Luft,18.0
Abluftanlage,Abluft,Anlage,20.0
Abluftfilter,Abluft,Filter,22.0
Abluftrohr,Abluft,Rohr,22.0
Ablösebetrag,Ablöse,Betrag,20.0
Ablöseforderung,Ablöse,Forderung,19.0
Ablösemodalität,Ablöse,Modalität,
Ablösesumme,Ablöse,Summe,15.0
Ablösezahlung,Ablöse,Zahlung,21.0
Ablösungsprozess,Ablösung,Prozess,21.0
Abmagerungskur,Abmagerung,Kur,19.0
Abmahnanwalt,abmahnen,Anwalt,
Abmahnverein,abmahnen,Verein,22.0
Abmahnwelle,abmahnen,Welle,
Abnahmefahrt,Abnahme,Fahrt,23.0
Abnahmeingenieur,Abnahme,Ingenieur,
Abnahmemenge,Abnahme,Menge,20.0
Abnahmepreis,Abnahme,Preis,20.0
Abnahmeprotokoll,Abnahme,Protokoll,
Abnahmetermin,Abnahme,Termin,20.0
Abnahmeverpflichtung,Abnahme,Verpflichtung,21.0
Abnahmevertrag,Abnahme,Vertrag,20.0
Abnehmerkreis,Abnehmer,Kreis,21.0
Abnehmerland,Abnehmer,Land,19.0
Abnutzungserscheinung,Abnutzung,Erscheinung,19.0
Abnutzungskrieg,Abnutzung,Krieg,
Abnutzungsspur,Abnutzung,Spur,
Abofalle,Abo,Falle,
Abokarte,Abo,Karte,
Abonnementkarte,Abonnement,Karte,
Abonnementkonzert,Abonnement,Konzert,19.0
Abonnementspreis,Abonnement,Preis,15.0
Abonnentenhotline,Abonnent,Hotline,
Abonnentenzahl,Abonnent,Zahl,19.0
Abopreis,Abo,Preis,19.0
Abraum,ab,Raum,18.0
Abraumhalde,Abraum,Halde,19.0
Abrechnungsbetrug,Abrechnung,Betrug,19.0
Abrechnungsjahr,Abrechnung,Jahr,21.0
Abrechnungsmodalität,Abrechnung,Modalität,21.0
Abrechnungsmodell,Abrechnung,Modell,21.0
Abrechnungsmodus,Abrechnung,Modus,20.0
Abrechnungsperiode,Abrechnung,Periode,20.0
Abrechnungspraxis,Abrechnung,Praxis,21.0
Abrechnungsstelle,Abrechnung,Stelle,21.0
Abrechnungssystem,Abrechnung,System,18.0
Abrechnungsverfahren,Abrechnung,Verfahren,20.0
Abrechnungswesen,Abrechnung,Wesen,21.0
Abrechnungszeitraum,Abrechnung,Zeitraum,20.0
Abrechnungszweck,Abrechnung,Zweck,
Abreisedatum,Abreise,Datum,
Abreisetag,Abreise,Tag,19.0
Abreisetermin,Abreise,Termin,21.0
Abreißkalender,abreißen,Kalender,21.0
Abrissarbeit,Abriss,Arbeit,18.0
Abrissbagger,Abriss,Bagger,20.0
Abrissbirne,Abriss,Birne,18.0
Abrissfirma,Abriss,Firma,21.0
Abrissgenehmigung,Abriss,Genehmigung,20.0
Abrisshaus,Abriss,Haus,20.0
Abrisskante,Abriss,Kante,22.0
Abrisskosten,Abriss,Kosten,20.0
Abrissplan,Abriss,Plan,20.0
Abrissunternehmen,Abriss,Unternehmen,22.0
Abrissverfügung,Abriss,Verfügung,20.0
Abrüstungsabkommen,Abrüstung,Abkommen,20.0
Abrüstungsdebatte,Abrüstung,Debatte,23.0
Abrüstungsgespräch,Abrüstung,Gespräch,20.0
Abrüstungskonferenz,Abrüstung,Konferenz,19.0
Abrüstungspolitik,Abrüstung,Politik,20.0
Abrüstungsverhandlung,Abrüstung,Verhandlung,19.0
Absageschreiben,Absage,Schreiben,23.0
Absatzchance,Absatz,Chance,18.0
Absatzeinbruch,Absatz,Einbruch,18.0
Absatzeinbuße,Absatz,Einbuße,19.0
Absatzfinanzierung,Absatz,Finanzierung,21.0
Absatzflaute,Absatz,Flaute,19.0
Absatzforschung,Absatz,Forschung,20.0
Absatzförderung,Absatz,Förderung,19.0
Absatzgebiet,Absatz,Gebiet,19.0
Absatzkanal,Absatz,Kanal,19.0
Absatzkrise,Absatz,Krise,18.0
Absatzmarkt,Absatz,Markt,16.0
Absatzmenge,Absatz,Menge,19.0
Absatzmöglichkeit,Absatz,Möglichkeit,19.0
Absatzplanung,Absatz,Planung,22.0
Absatzplus,Absatz,Plus,18.0
Absatzproblem,Absatz,Problem,18.0
Absatzprognose,Absatz,Prognose,20.0
Absatzrekord,Absatz,Rekord,19.0
Absatzrenner,Absatz,Renner,
Absatzrückgang,Absatz,Rückgang,17.0
Absatzschwierigkeit,Absatz,Schwierigkeit,19.0
Absatzsteigerung,Absatz,Steigerung,18.0
Absatzstrategie,Absatz,Strategie,22.0
Absatztief,Absatz,Tief,
Absatzverlust,Absatz,Verlust,21.0
Absatzvolumen,Absatz,Volumen,20.0
Absatzweg,Absatz,Weg,20.0
Absatzwirtschaft,Absatz,Wirtschaft,21.0
Absatzzahl,Absatz,Zahl,17.0
Absatzüberschrift,Absatz,Überschrift,
Absauganlage,absaugen,Anlage,20.0
Abschaltautomatik,abschalten,Automatik,22.0
Abschiebegewahrsam,abschieben,Gewahrsam,19.0
Abschiebehaft,abschieben,Haft,16.0
Abschiebehindernis,abschieben,Hindernis,20.0
Abschiebepraxis,abschieben,Praxis,18.0
Abschiebungsandrohung,Abschiebung,Androhung,22.0
Abschiebungsanordnung,Abschiebung,Anordnung,
Abschiebungshaft,Abschiebung,Haft,21.0
Abschiebungshindernis,Abschiebung,Hindernis,20.0
Abschiebungsschutz,Abschiebung,Schutz,21.0
Abschiedsabend,Abschied,Abend,19.0
Abschiedsbesuch,Abschied,Besuch,19.0
Abschiedsbrief,Abschied,Brief,16.0
Abschiedsessen,Abschied,Essen,20.0
Abschiedsfeier,Abschied,Feier,17.0
Abschiedsfest,Abschied,Fest,18.0
Abschiedsgeschenk,Abschied,Geschenk,17.0
Abschiedsgesuch,Abschied,Gesuch,24.0
Abschiedsgottesdienst,Abschied,Gottesdienst,18.0
Abschiedsgruß,Abschied,Gruß,19.0
Abschiedskonzert,Abschied,Konzert,18.0
Abschiedskuss,Abschied,Kuss,20.0
Abschiedslied,Abschied,Lied,19.0
Abschiedsparty,Abschied,Party,18.0
Abschiedsrede,Abschied,Rede,17.0
Abschiedsschmerz,Abschied,Schmerz,19.0
Abschiedsspiel,Abschied,Spiel,16.0
Abschiedsstimmung,Abschied,Stimmung,19.0
Abschiedsszene,Abschied,Szene,20.0
Abschiedstour,Abschied,Tour,18.0
Abschiedstournee,Abschied,Tournee,17.0
Abschiedsträne,Abschied,Träne,20.0
Abschiedsveranstaltung,Abschied,Veranstaltung,21.0
Abschiedsvorlesung,Abschied,Vorlesung,20.0
Abschiedsvorstellung,Abschied,Vorstellung,17.0
Abschiedswort,Abschied,Wort,17.0
Abschiedszeremonie,Abschied,Zeremonie,20.0
Abschirmdienst,abschirmen,Dienst,19.0
Abschlagssumme,Abschlag,Summe,24.0
Abschlagszahlung,Abschlag,Zahlung,17.0
Abschleppdienst,abschleppen,Dienst,17.0
Abschleppfahrzeug,abschleppen,Fahrzeug,
Abschleppfirma,abschleppen,Firma,20.0
Abschlepphaken,abschleppen,Haken,21.0
Abschleppkosten,abschleppen,Kosten,20.0
Abschleppseil,abschleppen,Seil,20.0
Abschleppunternehmen,abschleppen,Unternehmen,19.0
Abschleppwagen,abschleppen,Wagen,18.0
Abschlussabend,Abschluss,Abend,18.0
Abschlussansprache,Abschluss,Ansprache,
Abschlussarbeit,Abschluss,Arbeit,17.0
Abschlussausstellung,Abschluss,Ausstellung,21.0
Abschlussball,Abschluss,Ball,18.0
Abschlussbericht,Abschluss,Bericht,15.0
Abschlussbesprechung,Abschluss,Besprechung,19.0
Abschlussbilanz,Abschluss,Bilanz,20.0
Abschlussbild,Abschluss,Bild,
Abschlussbuchung,Abschluss,Buchung,
Abschlussdatum,Abschluss,Datum,23.0
Abschlussdiplom,Abschluss,Diplom,21.0
Abschlussdiskussion,Abschluss,Diskussion,20.0
Abschlussdokument,Abschluss,Dokument,18.0
Abschlusserklärung,Abschluss,Erklärung,17.0
Abschlussessen,Abschluss,Essen,20.0
Abschlussexamen,Abschluss,Examen,21.0
Abschlussfahrt,Abschluss,Fahrt,18.0
Abschlussfeier,Abschluss,Feier,16.0
Abschlussfest,Abschluss,Fest,16.0
Abschlussfeuerwerk,Abschluss,Feuerwerk,19.0
Abschlussfilm,Abschluss,Film,19.0
Abschlussformel,Abschluss,Formel,
Abschlussgala,Abschluss,Gala,20.0
Abschlussgebühr,Abschluss,Gebühr,20.0
Abschlussgespräch,Abschluss,Gespräch,19.0
Abschlussgottesdienst,Abschluss,Gottesdienst,17.0
Abschlussjahr,Abschluss,Jahr,21.0
Abschlussjahrgang,Abschluss,Jahrgang,19.0
Abschlussklasse,Abschluss,Klasse,17.0
Abschlusskonferenz,Abschluss,Konferenz,21.0
Abschlusskonzert,Abschluss,Konzert,16.0
Abschlusskosten,Abschluss,Kosten,20.0
Abschlusskundgebung,Abschluss,Kundgebung,17.0
Abschlussnote,Abschluss,Note,20.0
Abschlusspapier,Abschluss,Papier,21.0
Abschlussparty,Abschluss,Party,18.0
Abschlussphase,Abschluss,Phase,21.0
Abschlussplenum,Abschluss,Plenum,21.0
Abschlussplädoyer,Abschluss,Plädoyer,22.0
Abschlusspressekonferenz,Abschluss,Pressekonferenz,19.0
Abschlussprovision,Abschluss,Provision,
Abschlussprämie,Abschluss,Prämie,
Abschlusspräsentation,Abschluss,Präsentation,20.0
Abschlussprüfer,Abschluss,Prüfer,20.0
Abschlussprüfung,Abschluss,Prüfung,15.0
Abschlussrechnung,Abschluss,Rechnung,21.0
Abschlussrede,Abschluss,Rede,19.0
Abschlussrennen,Abschluss,Rennen,19.0
Abschlusssitzung,Abschluss,Sitzung,20.0
Abschlussspiel,Abschluss,Spiel,20.0
Abschlusstabelle,Abschluss,Tabelle,17.0
Abschlusstag,Abschluss,Tag,18.0
Abschlusstagung,Abschluss,Tagung,23.0
Abschlusstest,Abschluss,Test,19.0
Abschlusstraining,Abschluss,Training,15.0
