compound,modifier,head
Mittelstation,Mittel,Station
Dopingsperre,Doping,sperren
Reiseort,Reise,Ort
Beifall,bei,Fall
Wohnprämie,wohnen,Prämie
aufschlagen,auf,schlagen
Starstürmer,Star,Stürmer
Aufschlag,auf,Schlag
Anklageliste,Anklage,Liste
Rundfahrt,Runde,Fahrt
Zeigefinger,Zeig,Finger
Nachsicht,nach,Sicht
Ansturm,an,Sturm
Ostberliner,Ost,Berliner
Fledermausland,Fledermaus,Land
Kameraauflösung,Kamera,Auflösung
oberhalb,obere,halb
Rentenplus,Rente,Plus
Mittelmaß,Mittel,Maß
Heimreise,Heim,Reise
Niederschlag,nieder,Schlag
anzünden,an,zünden
Abstand,ab,Stand
Eingang,ein,Gang
Wettbewerbsstätte,Wettbewerb,Stätte
Olympiafeuer,Olympia,Feuer
Zweitausend,zwei,Tausend
Stockschießen,Stock,Schießen
Hüpfseil,Hüpfen,Seil
Malkurs,Mal,Kurs
Mitspieler,mit,Spieler
Osteuropa,Ost,Europa
Mitfahrer,mit,Fahrer
Jugendwort,Jugend,Wort
Zeigefinger,Zeig,Finger
Schießübung,Schießen,Übung
Mobilfunktarif,Mobilfunk,Tarif
Linkspartei,Linke,Partei
Schulpädagoge,Schule,Pädagoge
messerscharf,Messer,scharf
Kreissaal,Kreis,Saal
Spitzenplatzierung,spitz,Platzierung
Mannschaftsbericht,Mannschaft,Bericht
Anschluss,an,Schluss
Handelsverband,Handeln,Verband
Vorstellung,vor,Stellung
Werteunion,Wert,Union
Werkzeugwagen,Werkzeug,Wagen
Schützenball,Schütze,Ball
Unterführung,untere,Führung
Erzrivale,Erz,Rivale
Weitsicht,Weite,Sicht
Empfangsnahme,Empfang,Nahme
Zahltag,Zahl,Tag
Sackspringen,Sack,springen
Werkstatt,Werk,Statt
Bühnendach,Bühne,Dach
Rücknahme,rück,Nahme
Rückruf,rück,Ruf
Wutattacke,Wut,Attacke
Mittelmeer,Mittel,Meer
Freiburg,frei,Burg
Freigänger,frei,Gänger
Spenderorgan,Spende,Organ
Fotografieworkshop,Fotografie,Workshop
Mittag,mit,Tag
Putzfrau,Putz,Frau
Meldekette,Meldung,Kette
Heilungsdauer,Heilung,Dauer
Vorschuss,vor,Schuss
Informationsvortrag,Information,Vortrag
Wiederwahl,wieder,Wahl
Stufenweise,Stufe,Weise
Finanzprüfer,Finanz,Prüfer
Olympiatitel,Olympia,Titel
Hochschulreferent,Hochschule,Referent
Förderschule,Förderung,Schule
Stillstand,still,Stand
Spielpass,Spiel,Pass
Kindergarde,Kind,Garde
Luststeigerung,Lust,Steigerung
Zulassungsdatum,Zulassung,Datum
Arbeitsunfähigkeit,Arbeit,Unfähigkeit
Putzkraft,Putz,Kraft
Anschlag,an,Schlag
Folgefehler,Folge,Fehler
Raumplan,Raum,Plan
Unterstrich,untere,Strich
Doppelwechsel,Doppel,Wechsel
überdecken,über,decken
Umstand,um,Stand
ausnutzen,aus,nutzen
Heizkosten,heizen,kosten
Lautsprecher,Laut,Sprecher
Sitzheizung,sitzen,Heizung
Dickschwanz,dick,Schwanz
Geldsorgen,Geld,Sorge
Meganewton,mega,Newton
Siegerehrung,Sieg,Ehrung
Merkliste,merken,Liste
Spendeorgan,Spende,Organ
Mittelstreifen,Mittel,Streifen
Wehrdienstpflicht,Wehrdienst,Pflicht
Nichtsnutz,nicht,nutzen
Umschreibung,um,Schreibung
Schlagseite,schlagen,Seite
Zwischenparken,zwischen,parken
Berufstätigkeit,Beruf,Tätigkeit
ansparen,an,sparen
Anfall,an,Fall
Milchbubi,Milch,Bub
Produktserie,Produkt,Serie
Überteuerung,über,Teuerung
